2G Site ID,Region,Latitude,Longitude,Final DG,Guarded/Unguarded
S-3967,South III,27.72569,65.04155,DG,Guarded
9576,South I,24.86318,67.02526,Non DG,Un Guarded
3093,Central I,31.52865,74.3268,Non DG,Guarded
8914,North I,33.77644,73.8315,DG,Guarded
S-3968,South III,28.0596,65.53,DG,Guarded
S-3969,South III,28.01573,65.75182,DG,Guarded
8088,North I,33.60049,73.06136,DG,Un Guarded
2368,North II,34.49536,71.82257,DG,Guarded
4659,Central III,29.09888,70.32424,DG,Guarded
S-3970,South III,27.81561,65.64729,DG,Guarded
S-3973,South III,27.45847,64.52273,DG,Guarded
1763,South II,25.06409,69.21717,Non DG,Un Guarded
S-3975,South III,27.57416,65.45151,DG,Guarded
6005,South I,24.86901,67.36446,Non DG,Un Guarded
5755,Central II,31.39974,73.13006,Non DG,Un Guarded
S-3987,South III,27.47709,64.14151,DG,Guarded
7117,Central I,31.4581,74.2805,Non DG,Guarded
CII-2645,Central III,29.3693,70.75302,Non DG,Guarded
1986,South III,30.00873,66.97111,DG,Guarded
5377,Central II,31.10264,72.90632,Non DG,Guarded
2845,North I,34.01255,72.65075,DG,Un Guarded
1266,South II,27.56384,68.19877,DG,Guarded
6960,Central II,30.76313,73.4518,DG,Guarded
6545,South III,30.24727,66.96404,Non DG,Un Guarded
N-4207,North II,34.01542,72.16735,Non DG,Un Guarded
9816,South II,25.36979,68.361981,DG,Guarded
8028,North I,33.67465,72.99963,DG,Guarded
7184,Central I,31.53601,74.27737,Non DG,Un Guarded
9354,South I,24.87909,67.04928,DG,Un Guarded
N-4763,North II,33.01458,70.60867,DG,Guarded
1595,South II,26.84422,68.12086,DG,Guarded
3653,Central I,32.57827,73.4955,Non DG,Un Guarded
N-5068,North I,33.51128,73.17698,Non DG,Un Guarded
2529,North I,33.39406,72.29975,Non DG,Un Guarded
1871,South I,24.84933,66.99663,Non DG,Un Guarded
S-3700,South III,25.7805,67.0399,DG,Guarded
N-4493,North I,33.48933,74.10191,Non DG,Un Guarded
3110,Central I,31.57323,74.31238,Non DG,Un Guarded
7129,Central I,31.48152,74.40927,Non DG,Un Guarded
7329,Central I,31.52076,74.30234,Non DG,Un Guarded
1854,South III,28.94943,61.58885,DG,Un Guarded
9097,South I,24.92564,66.96603,DG,Guarded
2987,North II,34.46712,72.53242,Non DG,Un Guarded
1393,South III,30.18415,66.99029,DG,Guarded
2470,North II,33.78583,71.56863,DG,Guarded
7084,Central I,31.57376,74.40653,Non DG,Un Guarded
7235,Central I,31.4311,74.3349,DG,Guarded
9397,South I,24.88721,67.04075,Non DG,Guarded
9417,South I,24.87046,67.0704,Non DG,Un Guarded
N-4712,North II,34.16411,71.42066,Non DG,Un Guarded
8610,North I,32.732401,73.541896,DG,Un Guarded
1943,South II,26.73493,67.77932,Non DG,Un Guarded
3071,Central I,31.54342,74.3057,DG,Guarded
3G-CI-4679,Central I,32.5914,74.0736,Non DG,Un Guarded
3590,Central I,31.62541,74.23355,DG,Guarded
7544,Central I,31.58419,74.32059,Non DG,Un Guarded
7796,Central I,32.53139,74.33729,DG,Un Guarded
CII-2305,Central II,31.05453,72.95361,DG,Guarded
CII-2272,Central II,31.26254,72.30883,Non DG,Un Guarded
3329,Central I,32.14889,74.17419,DG,Guarded
5010,Central III,30.23417,71.53261,DG,Guarded
N-4069,North I,33.71031,73.07471,Non DG,Un Guarded
3192,Central I,31.49417,74.33799,Non DG,Un Guarded
7903,Central I,32.57381,73.77137,DG,Guarded
CI-1173,Central I,31.19439,73.94678,Non DG,Un Guarded
CI-1196,Central I,32.11144,74.17798,Non DG,Un Guarded
CI-1199,Central I,32.10412,74.19109,Non DG,Un Guarded
CI-1193,Central I,32.15217,74.14751,Non DG,Un Guarded
CI-1194,Central I,32.12514,74.15203,Non DG,Un Guarded
CI-1160,Central I,31.41319,74.24031,Non DG,Un Guarded
CI-1170,Central I,31.43702,74.36817,Non DG,Un Guarded
CI-1184,Central I,32.08935,74.19552,Non DG,Un Guarded
CI-1182,Central I,32.1363,74.1487,Non DG,Un Guarded
CI-1192,Central I,32.19361,74.20766,Non DG,Un Guarded
CI-1181,Central I,32.2007,74.2205,Non DG,Un Guarded
1180,South II,24.65672,68.83822,DG,Guarded
7348,Central I,32.15809,74.18363,Non DG,Un Guarded
CI-1158,Central I,31.59237,74.23749,Non DG,Un Guarded
5621,Central II,32.08747,72.65838,Non DG,Un Guarded
2436,North I,33.98808,73.3665,DG,Guarded
2053,North I,33.69734,73.05053,DG,Guarded
2405,North II,34.00106,72.00077,Non DG,Un Guarded
2221,North I,32.93241,72.83173,DG,Guarded
9395,South I,24.93013,67.01644,Non DG,Guarded
2506,North I,32.9129,73.06635,DG,Guarded
4142,Central III,30.17559,71.50498,DG,Guarded
6780,South III,30.10544,66.98661,Non DG,Un Guarded
7200,Central I,31.6047,74.32811,DG,Un Guarded
3300,Central I,32.13924,74.20583,DG,Un Guarded
N-4356,North I,33.56891,73.0388,Non DG,Un Guarded
2778,North I,34.43416,73.2245,DG,Un Guarded
2535,North I,33.07976,73.18797,DG,Guarded
5678,Central III,29.75835,70.68806,DG,Guarded
